ResourceID,Associated_Monuments,NPRN,Community,Description,Description_Type,ENTER_BY,ENTRYDATE,External_Identifier_Type,External_Source,Geometry,KMSQ,LASTUPDATE,Location_Accuracy,Mapsheet,Name_Type,NMRW_Cultural_Period,NMRW_Evidence,NMRW_External_XRef,NMRW_Heritage_Resource_Type,NMRW_Name,NMRW_RCAHMW_Class,Notes,Old_County,OSGB_Grid_Reference,Possible_Evidence,Possible_Period,Possible_RCCLASS,Possible_Type,Preference_Type,Preferred_Period,Relationship_type,Type Note,Unitary_Authority,UPD_BY,ResourceID
705036,,705036,Rhayader,Industrial Estate on the Eastern edge of Rhayader,English Description,MP,19/01/1996,,,POINT (-3.5024384 52.302351),SN9768,19/01/1996,Grid reference taken at a central point within extensive site or complex,SN96NE,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Brynberth Enterprise Park, Rhayader",,,Radnorshire,SN9765068200,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Radnorshire,MP,cdd6e641-d179-4295-856e-0ae941515f17
705037,,705037,Llanelli Rural,Industrial Estate SE of Llanelli,English Description,MP,,,,POINT (-4.0951988 51.667465),SS5598,,Grid reference taken at a central point within extensive site or complex,SS59NE,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Bynea Business Park, Llanelli",,,Carmarthenshire,SS5520098600,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Carmarthenshire,MP,2e00d594-3e38-4e01-865e-f9347136f431
705038,,705038,St Bride's Minor (Bridgend),"Industrial Estate s of Brynmenyn, Bridgend",English Description,MP,,,,POINT (-3.57773 51.54922),SS9084,,Grid reference taken at a central point within extensive site or complex,SS98SW,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Brynmenyn Industrial Estate, Bridgend",,,Glamorgan,SS9070084550,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Glamorgan,MP,65bfb7d4-7da0-452a-af35-272538a239b0
705039,,705039,Welshpool,Industrial Estate NE of Welshpool,English Description,MP,,,,POINT (-3.1254758 52.669758),SJ2308,,Grid reference taken at a central point within extensive site or complex,SJ20NW,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Buttington Cross Enterprise Park, Welshpool",,,Montgomeryshire,SJ2399008600,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Montgomeryshire,MP,9fb4dbe3-88d6-4567-8f69-1b0020674036
705040,,705040,Trewern,Hamlet NE of Welshpool,English Description,MP,,,,POINT (-3.1277649 53.3925),SJ2508,,Grid reference taken at a central point within extensive site or complex,SJ20NE,No preference,Multiperiod,Documents,,HAMLET,"Buttington, Welshpool",,,Montgomeryshire,SJ2510089000,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Montgomeryshire,MP,718ed89f-0414-4bbc-98c7-51133dc1be98
705041,,705041,Llanfynydd (Flintshire),"Former quarry works, W of Bwlchgwyn",English Description,MP,,,,POINT (-3.1195021 53.077054),SJ2553,,Grid reference taken at a central point within extensive site or complex,SJ25SE,No preference,19th Century,Documents,,QUARRY,Bwlchgwyn Quarry,,,Denbighshire,SJ2510053900,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Denbighshire,MP,843a68d3-3671-437e-8648-4cf5e7be847d
705042,,705042,Caersws,Agricultural land identified for possible development,English Description,MP,,,,POINT (-3.4244432 52.522243),SO0392,,Grid reference taken at a central point within extensive site or complex,SO09SW,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,Caersws Development Land,,,Montgomeryshire,SO0345092550,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Montgomeryshire,MP,46a0e846-728c-40ed-95a4-6c15403bfa9b
705043,,705043,Llanfyllin,Industrial Estate on the site of the former Llanfyllin Railway Station,English Description,MP,,,,POINT (-3.2663314 52.764082),SJ1419,,Grid reference taken at a central point within extensive site or complex,SJ11NW,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Cain Valley Trading Estate, Llanfyllin",,,Montgomeryshire,SJ1465019250,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Montgomeryshire,MP,d3df342f-1047-43d1-9c4f-e57e0b30f646
705044,,705044,Newtown and Llanllwchaiarn,"Road bridge over the River Severn, Newtown. Officially opened 8th April 1993",English Description,MP,,,,POINT (-3.3092622 52.515033),SO1191,,Grid reference taken at a central point within extensive site or complex,SO19SW,No preference,20th Century,Documents,,ROAD BRIDGE,"Cambrian Bridge, Newtown",,,Montgomeryshire,SO1125091600,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Montgomeryshire,MP,10151552-c676-42ba-952c-ae4f6b467451
705045,,705045,Llandybie,Industrial Estate SE of Capel Hendre,English Description,MP,,,,POINT (-4.0380662 51.779887),SN5910,,Grid reference taken at a central point within extensive site or complex,SN51SE,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,Capel Hendre Industrial Estate,,,Carmarthenshire,SN5950010990,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Carmarthenshire,MP,aa3c69b2-fd81-4c6e-8ba9-2e7ad8686f2d
